time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.220956368387032e-07,-8.221339814370074e-08,5.004008374175018,6.282899418457879,0.00028850333679475426,0.0,-2.7679720285806318e-05,-1.5580656666772228e-05,0.13360543711141995,-0.016587907583633182,0.0130142173185602,0.0,445.6487225935998,446.7109583760878,449.3600162619524,448.0136453982734
0.12000000000000001,-1.2939192550590926e-05,-1.2832624161989675e-05,5.0197977452165325,6.282030368470039,0.0009995528693425015,0.0,-0.00048667080419608405,-0.0005260806276412631,0.39265337352989393,-0.01057782066825604,0.00941617655282508,0.0,484.6729742731185,484.4023921944962,484.80726580407304,485.2586782645054
0.18,-7.002489090568995e-05,-7.430619664805163e-05,5.050196462111996,6.280800458205398,0.0021227381052897343,0.0,-0.001523663430971958,-0.0016056247918318077,0.6205407171954793,-0.06516945516225596,0.03277793275983672,0.0,474.7795391552688,476.56822364968,478.30035963499336,474.12476449451583
0.23999999999999996,-0.00022718429149992236,-0.00025284049260762505,5.096227248791441,6.276480510240784,0.004029701293675636,0.0,-0.003967553308078651,-0.0048748458418008365,0.9136285778109345,-0.09136874383387904,0.029714460949387227,0.0,495.6106221145904,495.38569320787406,495.1161596804565,493.1814202371715
0.3,-0.0005660159135319225,-0.0007233480804735787,5.156460496043217,6.271104683192695,0.005343947772496804,0.0,-0.007512212891505478,-0.011425626095975472,1.0939848236384764,-0.08627267524581024,-0.002205927883594812,0.0,463.7272575515736,461.2133637259034,462.4539498914443,462.84876308263875
0.36000000000000004,-0.0011157143774676152,-0.0016517441856634194,5.223059854618727,6.265671818872413,0.004995484814722673,0.0,-0.010789908617681079,-0.02000653541756795,1.1259559221199178,-0.10086537188966135,-0.014212962745280763,0.0,416.8985141610876,415.84827257189,416.2775683579809,414.9911607271853
0.4200000000000001,-0.0018719276411814647,-0.003270591437820009,5.295457744100157,6.260209965539422,0.004086750108805326,0.0,-0.014318646085498914,-0.03458567906727175,1.2871272266154625,-0.07637289778667361,-0.017079192448059378,0.0,457.826480688151,457.5985080231788,455.7365678765107,457.6827985250867
0.48000000000000015,-0.0027897457800262477,-0.005703053200385017,5.370023137748854,6.255646959966457,0.0033695682758683176,0.0,-0.016212323031207586,-0.046837480093731135,1.1984754680801797,-0.07541254991266357,-0.0032863333593687854,0.0,372.4801248374982,373.82651567191334,374.9776861569803,375.06522206320795
0.5400000000000001,-0.00385159181684026,-0.00927211166904346,5.451004507580822,6.250818677482506,0.0028100600988523183,0.0,-0.01913692346713743,-0.0727346836321999,1.5005387271350232,-0.09322589973640223,-0.025523631520710414,0.0,499.2309910816607,497.60606908147145,499.05826604921424,497.75190190966464
0.6000000000000002,-0.005048320985113239,-0.014270459818999623,5.542362657723665,6.245345271339449,0.0017440564183202056,0.0,-0.020635233143442105,-0.09439343210586362,1.544655559140721,-0.0874949752565993,-0.0055714036548186185,0.0,420.3561436176389,422.08145274302757,420.9144963112192,421.40261898686623
0.6600000000000003,-0.0063225403171225224,-0.020754778510096838,5.638523973939266,6.240326927003464,0.000862192787138838,0.0,-0.021790530723045425,-0.12227914998546678,1.6605374223044147,-0.07687226341515417,-0.047828684154632296,0.0,445.3935234539103,441.9241548188174,444.7741948917493,445.637512829254
0.7200000000000003,-0.007638101347132216,-0.02904018986059869,5.742182020599749,6.235471690627275,6.281841309271854,0.0,-0.02179613494396482,-0.1543976514229491,1.7945050713099295,-0.09057657826719244,-0.02076184150876885,0.0,449.52319987781715,451.71026854708083,450.85919651677796,449.745397234366
0.7800000000000004,-0.008917500702677177,-0.03918142532568453,5.850185914730815,6.230139040303403,6.280549124784045,0.0,-0.020737728752954626,-0.18412118269061428,1.8055804035588738,-0.08568135563703964,-0.023132197598831453,0.0,410.86296986315324,410.65272712156985,411.51950667405515,411.9452866317964
0.8400000000000004,-0.01009806496712682,-0.05141624069258121,5.962825753859823,6.224738796789907,6.278905290257988,0.0,-0.018452492221746556,-0.224263215354305,1.9488113577761645,-0.10046331261258544,-0.037692509794781934,0.0,454.45103061192043,453.28231468383797,454.5525131340985,453.3597360694335
0.9000000000000005,-0.011119952621750091,-0.06595571780590558,6.08026016453371,6.2187227550402735,6.276150497551095,0.0,-0.015394264775492581,-0.26092508764558564,1.9656013532894014,-0.09987862542306387,-0.07236424413788396,0.0,415.62520636770165,412.5736082995009,413.66765125958284,413.70963664575146
0.9600000000000005,-0.011881383965449462,-0.08296991457585529,6.201247628792188,6.213967243113217,6.271273137091072,0.0,-0.009529974788742727,-0.30673603501410057,2.067089846431509,-0.05489843494510907,-0.11263779019260871,0.0,443.4148691858402,440.0878554504631,439.71769935453693,443.42195109857846
1.0200000000000005,-0.012147406553172325,-0.10299548238718884,6.330783744095532,6.210864635870966,6.264292027866119,0.0,0.0014435092661872592,-0.36112473039458304,2.250392284166872,-0.04599610096406928,-0.12505745310570227,0.0,467.9605388571037,466.9813185006239,466.68913551994734,467.38183634692774
1.0800000000000005,-0.011622212580683293,-0.12623747195748017,6.469722434127902,6.208906557401733,6.256904936335253,0.0,0.016851726720094433,-0.41383255497889665,2.380590903252919,-0.014292437620748444,-0.11950070632482282,0.0,452.1335129373871,452.56749781385565,450.2490662558205,452.80603893376457
